avatar_url,first_name,followers_count,full_name,id,kind,last_modified,last_name,permalink,permalink_url,uri,urn,username,verified,city,country_code,badges,station_urn,station_permalink
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000333939858-5vfm10-large.jpg,Janusz,441,Janusz,79854,user,2018-08-20T20:38:14Z,,dj-positive,https://soundcloud.com/dj-positive,https://api.soundcloud.com/users/79854,soundcloud:users:79854,Dj Positive,False,,PL,"{'pro': False, 'pro_unlimited': False, 'verified': False}",soundcloud:system-playlists:artist-stations:79854,artist-stations:79854
https://i1.sndcdn.com/avatars-000300767817-7llbcl-large.jpg,Festiwal,132,Festiwal Hip Hop Kemp,5917682,user,2018-08-20T20:39:55Z,Hip Hop Kemp,hiphopkemp,https://soundcloud.com/hiphopkemp,https://api.soundcloud.com/users/5917682,soundcloud:users:5917682,Hip Hop Kemp,False,Wroclaw,PL,"{'pro': False, 'pro_unlimited': False, 'verified': False}",soundcloud:system-playlists:artist-stations:5917682,artist-stations:5917682
https://i1.sndcdn.com/avatars-2ACk0rgGhnoAfmWF-mOzKzA-large.jpg,John Paul,24,John Paul Nicholas,78503,user,2021-09-22T13:24:35Z,Nicholas,dj-jay-p,https://soundcloud.com/dj-jay-p,https://api.soundcloud.com/users/78503,soundcloud:users:78503,DJ JAY P,False,Pembrokeshire,GB,"{'pro': False, 'pro_unlimited': False, 'verified': False}",soundcloud:system-playlists:artist-stations:78503,artist-stations:78503
https://i1.sndcdn.com/avatars-000333939858-5vfm10-large.jpg,Janusz,441,Janusz,79854,user,2018-08-20T20:38:14Z,,dj-positive,https://soundcloud.com/dj-positive,https://api.soundcloud.com/users/79854,soundcloud:users:79854,Dj Positive,False,,PL,"{'pro': False, 'pro_unlimited': False, 'verified': False}",soundcloud:system-playlists:artist-stations:79854,artist-stations:79854
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
https://i1.sndcdn.com/avatars-000333939858-5vfm10-large.jpg,Janusz,441,Janusz,79854,user,2018-08-20T20:38:14Z,,dj-positive,https://soundcloud.com/dj-positive,https://api.soundcloud.com/users/79854,soundcloud:users:79854,Dj Positive,False,,PL,"{'pro': False, 'pro_unlimited': False, 'verified': False}",soundcloud:system-playlists:artist-stations:79854,artist-stations:79854
https://i1.sndcdn.com/avatars-000203664902-v78ya9-large.jpg,Johan,99,Johan Berg,36568,user,2016-02-19T10:44:39Z,Berg,johanberg,https://soundcloud.com/johanberg,https://api.soundcloud.com/users/36568,soundcloud:users:36568,johanberg,False,Link̦ping,SE,"{'pro': False, 'pro_unlimited': False, 'verified': False}",soundcloud:system-playlists:artist-stations:36568,artist-stations:36568
https://i1.sndcdn.com/avatars-000506732328-czc3ya-large.jpg,,9308,,89725549,user,2020-12-01T06:59:09Z,,slamrecords,https://soundcloud.com/slamrecords,https://api.soundcloud.com/users/89725549,soundcloud:users:89725549,South London Analogue Material,True,,,"{'pro': False, 'pro_unlimited': False, 'verified': True}",soundcloud:system-playlists:artist-stations:89725549,artist-stations:89725549
https://i1.sndcdn.com/avatars-000060490861-kdttiu-large.jpg,Patrick,8930,Patrick DSP,78423,user,2021-01-17T17:28:46Z,DSP,patrickdsp,https://soundcloud.com/patrickdsp,https://api.soundcloud.com/users/78423,soundcloud:users:78423,Patrick DSP,True,Berlin,DE,"{'pro': False, 'pro_unlimited': True, 'verified': True}",soundcloud:system-playlists:artist-stations:78423,artist-stations:78423
